compounds	concentration	minFlux	maxFlux	Name	Formula	Charge	Compartment
cpd00264	0.01	-1000	1000	Spermidine_e0	C7H22N3	3	Extracellular_0
cpd00268	0.01	-1000	1000	H2S2O3_e0	HO3S2	-1	Extracellular_0
cpd00276	0.01	-1000	1000	GLUM_e0	C6H14NO5	1	Extracellular_0
cpd00277	0.01	-1000	1000	Deoxyguanosine	C10H13N5O4	0	Extracellular_0
cpd00280	0.01	-1000	1000	D-Galacturonate_e0	C6H9O7	-1	Extracellular_0
cpd00281	0.01	-1000	1000	GABA_e0	C4H9NO2	0	Extracellular_0
cpd00305	0.01	-1000	1000	Thiamin_e0	C12H17N4OS	1	Extracellular_0
cpd00307	0.01	-1000	1000	Cytosine_e0	C4H5N3O	0	Extracellular_0
cpd00309	0.01	-1000	1000	XAN_e0	C5H4N4O2	0	Extracellular_0
cpd00314	0.01	-1000	1000	D-Mannitol_e0	C6H14O6	0	Extracellular_0
cpd00322	0.01	-1000	1000	L-Isoleucine_e0	C6H13NO2	0	Extracellular_0
cpd00355	0.01	-1000	1000	Nicotinamide ribonucleotide	C11H14N2O8P	-1	Extracellular_0
cpd00357	0.01	-1000	1000	TTP	C10H14N2O14P3	-3	Extracellular_0
cpd00367	0.01	-1000	1000	Cytidine	C9H13N3O5	0	Extracellular_0
cpd00393	0.01	-1000	1000	Folate_e0	C19H17N7O6	-2	Extracellular_0
cpd00395	0.01	-1000	1000	L-Cysteate	C3H6NO5S	-1	Extracellular_0
cpd00412	0.01	-1000	1000	Deoxyuridine	C9H12N2O5	0	Extracellular_0
cpd00423	0.01	-1000	1000	Vitamin B12r	C62H91CoN13O14P	3	Extracellular_0
cpd00438	0.01	-1000	1000	Deoxyadenosine	C10H13N5O3	0	Extracellular_0
cpd00516	0.01	-1000	1000	"meso-2,6-Diaminopimelate"	C7H14N2O4	0	Extracellular_0
cpd00531	0.01	-1000	1000	Hg2+_e0	Hg	2	Extracellular_0
cpd00540	0.01	-1000	1000	BET	C5H11NO2	0	Extracellular_0
cpd00550	0.01	-1000	1000	D-Serine_e0	C3H7NO3	0	Extracellular_0
cpd00588	0.01	-1000	1000	Sorbitol_e0	C6H14O6	0	Extracellular_0
cpd00635	0.01	-1000	1000	Cbl_e0	C62H91CoN13O14P	2	Extracellular_0
cpd00637	0.01	-1000	1000	D-Methionine_e0	C5H11NO2S	0	Extracellular_0
cpd00644	0.01	-1000	1000	PAN_e0	C9H16NO5	-1	Extracellular_0
cpd00653	0.01	-1000	1000	D-Galactonate_e0	C6H11O7	-1	Extracellular_0
cpd00654	0.01	-1000	1000	Deoxycytidine	C9H13N3O4	0	Extracellular_0
cpd00793	0.01	-1000	1000	Thiamine phosphate	C12H16N4O4PS	-1	Extracellular_0
cpd00794	0.01	-1000	1000	TRHL_e0	C12H22O11	0	Extracellular_0
cpd00797	0.01	-1000	1000	(R)-3-Hydroxybutanoate_e0	C4H7O3	-1	Extracellular_0
cpd00971	0.01	-1000	1000	Na+_e0	Na	1	Extracellular_0
cpd01012	0.01	-1000	1000	Cd2+_e0	Cd	2	Extracellular_0
cpd01017	0.01	-1000	1000	Cys-Gly	C5H10N2O3S	0	Extracellular_0
cpd01030	0.01	-1000	1000	Salicin_e0	C13H18O7	0	Extracellular_0
cpd01080	0.01	-1000	1000	ocdca_e0	C18H35O2	-1	Extracellular_0
cpd01092	0.01	-1000	1000	Allantoin_e0	C4H5N4O3	-1	Extracellular_0
cpd01155	0.01	-1000	1000	Cadaverine	C5H16N2	2	Extracellular_0
cpd01171	0.01	-1000	1000	Dulcose_e0	C6H14O6	0	Extracellular_0
cpd01217	0.01	-1000	1000	Xanthosine_e0	C10H12N4O6	0	Extracellular_0
cpd01242	0.01	-1000	1000	Thyminose	C5H10O4	0	Extracellular_0
cpd01914	0.01	-1000	1000	L-Methionine S-oxide_e0	C5H11NO3S	0	Extracellular_0
cpd03048	0.01	-1000	1000	Isethionate	C2H5O4S	-1	Extracellular_0
cpd03279	0.01	-1000	1000	Deoxyinosine	C10H12N4O4	0	Extracellular_0
cpd03343	0.01	-1000	1000	Phenylpropanoate	C9H9O2	-1	Extracellular_0
cpd03424	0.01	-1000	1000	Vitamin B12	C61H86CoN13O14PR	6	Extracellular_0
cpd03696	0.01	-1000	1000	Ursin_e0	C12H16O7	0	Extracellular_0
cpd03724	0.01	-1000	1000	Ferrichrome_e0	C27H42FeN9O12	0	Extracellular_0
cpd03725	0.01	-1000	1000	Fe(III)dicitrate	C12H10FeO14	0	Extracellular_0
cpd03847	0.01	-1000	1000	Myristic acid	C14H27O2	-1	Extracellular_0
cpd04097	0.01	-1000	1000	Pb_e0	Pb	2	Extracellular_0
cpd08023	0.01	-1000	1000	methanesulfonate	CH3O3S	-1	Extracellular_0
cpd08305	0.01	-1000	1000	crotonobetaine	C8H16NO	1	Extracellular_0
cpd08306	0.01	-1000	1000	Butyro-betaine	C8H18NO	1	Extracellular_0
cpd09878	0.01	-1000	1000	Sulfoacetate	C2H2O5S	-2	Extracellular_0
cpd10516	0.01	-1000	1000	fe3_e0	Fe	3	Extracellular_0
cpd11575	0.01	-1000	1000	MOPS	C7H14NO4S	-1	Extracellular_0
cpd11576	0.01	-1000	1000	L-methionine R-oxide_e0	C5H11NO3S	0	Extracellular_0
cpd11578	0.01	-1000	1000	hexanesulfonate	C6H13O3S	-1	Extracellular_0
cpd11579	0.01	-1000	1000	ethanesulfonate	C2H5O3S	-1	Extracellular_0
cpd11580	0.01	-1000	1000	Gly-Gln	C7H13N3O4	0	Extracellular_0
cpd11581	0.01	-1000	1000	gly-asn-L	C6H11N3O4	0	Extracellular_0
cpd11582	0.01	-1000	1000	ala-L-Thr-L	C7H14N2O4	0	Extracellular_0
cpd11583	0.01	-1000	1000	Ala-Leu	C9H18N2O3	0	Extracellular_0
cpd11584	0.01	-1000	1000	Ala-His	C9H14N4O3	0	Extracellular_0
cpd11585	0.01	-1000	1000	L-alanylglycine	C5H10N2O3	0	Extracellular_0
cpd11586	0.01	-1000	1000	ala-L-glu-L	C8H13N2O5	-1	Extracellular_0
cpd11587	0.01	-1000	1000	Ala-Gln	C8H15N3O4	0	Extracellular_0
cpd11588	0.01	-1000	1000	gly-pro-L	C7H12N2O3	0	Extracellular_0
cpd11589	0.01	-1000	1000	gly-asp-L	C6H9N2O5	-1	Extracellular_0
cpd11590	0.01	-1000	1000	met-L-ala-L	C8H15N2O3S	-1	Extracellular_0
cpd11591	0.01	-1000	1000	Gly-Met	C7H14N2O3S	0	Extracellular_0
cpd11592	0.01	-1000	1000	gly-glu-L	C7H11N2O5	-1	Extracellular_0
cpd11593	0.01	-1000	1000	ala-L-asp-L	C7H11N2O5	-1	Extracellular_0
cpd11596	0.01	-1000	1000	butanesulfonate	C4H9O3S	-1	Extracellular_0
cpd11597	0.01	-1000	1000	ARSENOBETAINE	C5H11O2As	0	Extracellular_0
cpd11606	0.01	-1000	1000	Menaquinone 7_e0	C46H64O2	0	Extracellular_0
cpd15603	0.01	-1000	1000	Gly-Cys	C5H10N2O3S	0	Extracellular_0
cpd15604	0.01	-1000	1000	Gly-Leu	C8H16N2O3	0	Extracellular_0
cpd15605	0.01	-1000	1000	Gly-Phe	C11H14N2O3	0	Extracellular_0
cpd15606	0.01	-1000	1000	Gly-Tyr	C11H14N2O4	0	Extracellular_0
