compounds	concentration	minFlux	maxFlux	Name	Formula	Charge	Compartment
cpd01092	0.01	-1000	1000	Allantoin	C4H5N4O3	-1	Extracellular_0
cpd01242	0.01	-1000	1000	Thyminose	C5H10O4	0	Extracellular_0
cpd01914	0.01	-1000	1000	L-Methionine S-oxide	C5H11NO3S	0	Extracellular_0
cpd03725	0.01	-1000	1000	Fe(III)dicitrate	C12H10FeO14	0	Extracellular_0
cpd03847	0.01	-1000	1000	Myristic acid	C14H27O2	-1	Extracellular_0
cpd04097	0.01	-1000	1000	Pb	Pb	2	Extracellular_0
cpd08305	0.01	-1000	1000	crotonobetaine	C8H16NO	1	Extracellular_0
cpd08306	0.01	-1000	1000	Butyro-betaine	C8H18NO	1	Extracellular_0
cpd10516	0.01	-1000	1000	fe3	Fe	3	Extracellular_0
cpd11576	0.01	-1000	1000	L-methionine R-oxide	C5H11NO3S	0	Extracellular_0
cpd11580	0.01	-1000	1000	Gly-Gln	C7H13N3O4	0	Extracellular_0
cpd11581	0.01	-1000	1000	gly-asn-L	C6H11N3O4	0	Extracellular_0
cpd11582	0.01	-1000	1000	ala-L-Thr-L	C7H14N2O4	0	Extracellular_0
cpd11583	0.01	-1000	1000	Ala-Leu	C9H18N2O3	0	Extracellular_0
cpd11584	0.01	-1000	1000	Ala-His	C9H14N4O3	0	Extracellular_0
cpd11585	0.01	-1000	1000	L-alanylglycine	C5H10N2O3	0	Extracellular_0
cpd11586	0.01	-1000	1000	ala-L-glu-L	C8H13N2O5	-1	Extracellular_0
cpd11587	0.01	-1000	1000	Ala-Gln	C8H15N3O4	0	Extracellular_0
cpd11588	0.01	-1000	1000	gly-pro-L	C7H12N2O3	0	Extracellular_0
cpd11589	0.01	-1000	1000	gly-asp-L	C6H9N2O5	-1	Extracellular_0
cpd11590	0.01	-1000	1000	met-L-ala-L	C8H15N2O3S	-1	Extracellular_0
cpd11591	0.01	-1000	1000	Gly-Met	C7H14N2O3S	0	Extracellular_0
cpd11592	0.01	-1000	1000	gly-glu-L	C7H11N2O5	-1	Extracellular_0
cpd11593	0.01	-1000	1000	ala-L-asp-L	C7H11N2O5	-1	Extracellular_0
cpd11597	0.01	-1000	1000	ARSENOBETAINE	C5H11O2As	0	Extracellular_0
cpd15603	0.01	-1000	1000	Gly-Cys	C5H10N2O3S	0	Extracellular_0
cpd15604	0.01	-1000	1000	Gly-Leu	C8H16N2O3	0	Extracellular_0
cpd15605	0.01	-1000	1000	Gly-Phe	C11H14N2O3	0	Extracellular_0
cpd15606	0.01	-1000	1000	Gly-Tyr	C11H14N2O4	0	Extracellular_0
